time_ms,ent_idx,bone,world_x,world_y,world_z,scr_x,scr_y,visible,box_x,box_y,box_w,box_h,bonearray_ptr,vm_w0,vm_w1,vm_w2,vm_w3
40799122,23,pelvis,-508.60,1157.59,38.67,1093.77,545.93,1,1075.35,523.41,30.46,50.77,3A28F8C9C00,-0.469276,0.882882,-0.017278,-266.067230
40799122,23,ankle_L,-498.44,1146.31,4.39,1098.40,571.39,1,1075.35,523.41,30.46,50.77,3A28F8C9C00,-0.469276,0.882882,-0.017278,-266.067230
40799122,23,ankle_R,-519.57,1162.80,4.43,1087.20,570.29,1,1075.35,523.41,30.46,50.77,3A28F8C9C00,-0.469276,0.882882,-0.017278,-266.067230
40799122,24,head,-1148.20,829.26,64.15,577.08,527.47,1,495.95,513.57,133.27,173.77,3A28F8CC600,-0.469276,0.882882,-0.017278,-266.067230
40799122,24,neck_0,-1150.48,832.82,60.24,578.47,530.26,1,495.95,513.57,133.27,173.77,3A28F8CC600,-0.469276,0.882882,-0.017278,-266.067230
40799122,24,pelvis,-1151.85,838.54,38.67,581.80,545.56,1,495.95,513.57,133.27,173.77,3A28F8CC600,-0.469276,0.882882,-0.017278,-266.067230
40799122,24,ankle_L,-1137.42,833.85,4.39,585.47,570.34,1,495.95,513.57,133.27,173.77,3A28F8CC600,-0.469276,0.882882,-0.017278,-266.067230
40799122,24,ankle_R,-1163.96,837.57,4.43,575.94,569.65,1,495.95,513.57,133.27,173.77,3A28F8CC600,-0.469276,0.882882,-0.017278,-266.067230
40799122,25,head,-829.23,1148.22,64.15,894.89,527.48,1,854.42,516.69,390.96,134.90,3A28F8C0200,-0.469276,0.882882,-0.017278,-266.067230
40799122,25,neck_0,-830.30,1152.31,60.24,895.74,529.95,1,854.42,516.69,390.96,134.90,3A28F8C0200,-0.469276,0.882882,-0.017278,-266.067230
40799122,25,pelvis,-829.84,1158.18,38.67,898.03,543.50,1,854.42,516.69,390.96,134.90,3A28F8C0200,-0.469276,0.882882,-0.017278,-266.067230
40799122,25,ankle_L,-817.56,1149.26,4.39,901.55,565.49,1,854.42,516.69,390.96,134.90,3A28F8C0200,-0.469276,0.882882,-0.017278,-266.067230
40799122,25,ankle_R,-841.65,1160.99,4.43,892.81,564.75,1,854.42,516.69,390.96,134.90,3A28F8C0200,-0.469276,0.882882,-0.017278,-266.067230
40800125,23,head,-510.03,1147.64,63.98,1090.60,527.59,1,1075.41,523.54,30.38,50.64,3A28F8C9C00,-0.469276,0.882882,-0.017278,-266.067230
40800125,23,neck_0,-510.19,1151.89,60.09,1091.43,530.42,1,1075.41,523.54,30.38,50.64,3A28F8C9C00,-0.469276,0.882882,-0.017278,-266.067230
40800125,23,pelvis,-508.60,1157.59,38.67,1093.77,545.93,1,1075.41,523.54,30.38,50.64,3A28F8C9C00,-0.469276,0.882882,-0.017278,-266.067230
40800125,23,ankle_L,-498.44,1146.31,4.39,1098.40,571.39,1,1075.41,523.54,30.38,50.64,3A28F8C9C00,-0.469276,0.882882,-0.017278,-266.067230
40800125,23,ankle_R,-519.57,1162.80,4.43,1087.20,570.29,1,1075.41,523.54,30.38,50.64,3A28F8C9C00,-0.469276,0.882882,-0.017278,-266.067230
40800125,24,head,-1148.11,829.21,63.98,577.09,527.59,1,517.88,511.80,118.43,197.38,3A28F8CC600,-0.469276,0.882882,-0.017278,-266.067230
40800125,24,neck_0,-1150.38,832.80,60.09,578.50,530.37,1,517.88,511.80,118.43,197.38,3A28F8CC600,-0.469276,0.882882,-0.017278,-266.067230
40800125,24,pelvis,-1151.85,838.54,38.67,581.80,545.56,1,517.88,511.80,118.43,197.38,3A28F8CC600,-0.469276,0.882882,-0.017278,-266.067230
40800125,24,ankle_L,-1137.42,833.85,4.39,585.47,570.34,1,517.88,511.80,118.43,197.38,3A28F8CC600,-0.469276,0.882882,-0.017278,-266.067230
40800125,24,ankle_R,-1163.96,837.57,4.43,575.94,569.65,1,517.88,511.80,118.43,197.38,3A28F8CC600,-0.469276,0.882882,-0.017278,-266.067230
40800125,25,head,-829.16,1148.15,63.98,894.90,527.59,1,847.59,514.97,442.42,157.71,3A28F8C0200,-0.469276,0.882882,-0.017278,-266.067230
40800125,25,neck_0,-830.21,1152.26,60.09,895.78,530.05,1,847.59,514.97,442.42,157.71,3A28F8C0200,-0.469276,0.882882,-0.017278,-266.067230
40800125,25,pelvis,-829.84,1158.18,38.67,898.03,543.50,1,847.59,514.97,442.42,157.71,3A28F8C0200,-0.469276,0.882882,-0.017278,-266.067230
40800125,25,ankle_L,-817.56,1149.26,4.39,901.55,565.49,1,847.59,514.97,442.42,157.71,3A28F8C0200,-0.469276,0.882882,-0.017278,-266.067230
40800125,25,ankle_R,-841.65,1160.99,4.43,892.81,564.75,1,847.59,514.97,442.42,157.71,3A28F8C0200,-0.469276,0.882882,-0.017278,-266.067230
40801126,23,head,-510.22,1147.66,64.07,1090.47,527.53,1,1075.26,523.47,30.43,50.71,3A28F8C9C00,-0.469276,0.882882,-0.017278,-266.067230
40801126,23,neck_0,-510.35,1151.89,60.17,1091.32,530.37,1,1075.26,523.47,30.43,50.71,3A28F8C9C00,-0.469276,0.882882,-0.017278,-266.067230
40801126,23,pelvis,-508.60,1157.59,38.67,1093.77,545.93,1,1075.26,523.47,30.43,50.71,3A28F8C9C00,-0.469276,0.882882,-0.017278,-266.067230
